Unnamed: 0,flat_data,Target,Path,height,width,channels,CircleArea,x_circle,y_circle,r_circle,b_mean_circle,g_mean_circle,r_mean_circle,b_var_circle,g_var_circle,r_var_circle,b_std_circle,g_std_circle,r_std_circle,HOG,HOG_max,HOG_min,HOG_mean,HOG_std,SIFT,SIFT_mean,SIFT_std,TEXTURE,New Target,New Target Name
10,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0103_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,134613.99,662,546,207,56.0,49.0,36.0,250.0,231.0,194.0,16.0,15.0,14.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999758148,0.0014038494275157,0.008741906236439,0.0479124356461342,[162.  87.   0. ...  28.   9.   5.],22.516571,39.2647,"[ 8.71633911e-01  5.07132226e+00  9.82665170e-01  1.46264570e+02
  9.55689236e-01  6.11327688e+00  5.79986956e+02  7.76078897e-01
  9.17985169e-01  6.43130653e-03  4.64454066e-01 -6.53313432e-01
  7.67789915e-01]",0,Flipoff Trasparente
11,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0059_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,664,546,296,69.0,70.0,59.0,848.0,1071.0,1083.0,29.0,33.0,33.0,[0. 0. 0. ... 0. 0. 0.],0.999999999944961,0.000613844770643,0.0161777496670871,0.0654750503759876,[19. 54. 17. ...  1. 15. 16.],23.465694,38.699608,"[ 7.47938044e-01  1.72207389e+01  9.86852361e-01  6.54843800e+02
  9.01015070e-01  1.79354157e+01  2.60215446e+03  1.59046752e+00
  1.99607379e+00  3.24437253e-03  9.34066680e-01 -6.02040185e-01
  9.05847043e-01]",0,Flipoff Trasparente
12,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0156_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,161882.99,664,552,227,57.0,52.0,39.0,317.0,323.0,287.0,18.0,18.0,17.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997564804,0.001019441737311,0.0101549354616566,0.0514085796051524,[48.  4.  0. ...  0.  0.  2.],24.179502,38.25558,"[ 8.46819035e-01  5.49808313e+00  9.86249390e-01  1.99905283e+02
  9.45858067e-01  7.78943349e+00  7.94123049e+02  9.27771206e-01
  1.11427153e+00  5.86706947e-03  5.49280343e-01 -6.43352281e-01
  8.07647405e-01]",0,Flipoff Trasparente
13,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0045_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,137227.79,656,550,209,53.0,47.0,34.0,255.0,236.0,198.0,16.0,15.0,14.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998942148,0.0012585452038258,0.0087393443262584,0.0483766070392964,[23.  2.  0. ... 10.  0.  0.],22.139322,39.47059,"[ 8.70096535e-01  5.93900137e+00  9.78068455e-01  1.35388339e+02
  9.54874700e-01  5.88312884e+00  5.35614354e+02  7.78429545e-01
  9.21283463e-01  5.91583295e-03  4.73422651e-01 -6.51594285e-01
  7.67712522e-01]",0,Flipoff Trasparente
14,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0087_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,161882.99,664,546,227,60.0,55.0,42.0,721.0,746.0,664.0,27.0,27.0,26.0,[0. 0. 0. ... 0. 0. 0.],0.9999999992000002,0.0008366141327817,0.0102178269469761,0.0518824811149118,[0. 0. 0. ... 5. 1. 4.],23.599115,38.61286,"[ 8.46813145e-01  7.47175919e+00  9.85256244e-01  2.53365262e+02
  9.44725071e-01  8.24869061e+00  1.00598929e+03  9.49513204e-01
  1.14719055e+00  3.54290215e-03  5.66153807e-01 -6.42712263e-01
  8.13907217e-01]",0,Flipoff Trasparente
15,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0051_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,660,536,296,69.0,70.0,58.0,870.0,1029.0,1015.0,30.0,32.0,32.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999943268,0.0008572360722738,0.0161047941850228,0.0657057345775387,[24.  0.  0. ...  0.  0.  0.],23.414793,38.72597,"[ 7.47939183e-01  1.65439297e+01  9.87244789e-01  6.48460575e+02
  9.01247106e-01  1.79200512e+01  2.57729837e+03  1.58551366e+00
  1.98753421e+00  3.37089729e-03  9.34047651e-01 -6.01638986e-01
  9.04956900e-01]",0,Flipoff Trasparente
16,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0093_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,660,546,296,69.0,70.0,58.0,698.0,889.0,909.0,26.0,30.0,30.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997387754,0.0004979306907775,0.016492369061434,0.0653965103716986,[ 1.  7. 13. ... 12. 36. 36.],23.977715,38.382736,"[ 7.47935292e-01  1.38595610e+01  9.89022625e-01  6.31226043e+02
  9.01500683e-01  1.79356693e+01  2.51104461e+03  1.57750734e+00
  1.97548038e+00  3.93983157e-03  9.24470797e-01 -6.02552450e-01
  9.04285450e-01]",0,Flipoff Trasparente
17,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0163_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,159042.99,664,546,225,58.0,53.0,40.0,354.0,354.0,307.0,19.0,19.0,18.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999411664,0.0016130764994455,0.0101773981257053,0.051620831603873,[0. 0. 0. ... 0. 0. 3.],23.976818,38.374638,"[ 8.49994951e-01  5.31329393e+00  9.86991964e-01  2.04214191e+02
  9.46934592e-01  7.75432404e+00  8.11543470e+02  9.11967372e-01
  1.09092257e+00  5.65691644e-03  5.40222663e-01 -6.46453904e-01
  8.04442812e-01]",0,Flipoff Trasparente
18,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0122_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,658,536,296,66.0,67.0,56.0,615.0,780.0,795.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999687852,0.0008270069712745,0.0163191053486837,0.0654399618480824,[25.  0.  0. ...  0.  0.  3.],23.763905,38.515522,"[ 7.47944301e-01  1.60043219e+01  9.86002409e-01  5.71633382e+02
  9.02469288e-01  1.71327754e+01  2.27052921e+03  1.57050448e+00
  1.96212168e+00  4.38661194e-03  9.18217237e-01 -6.04128698e-01
  9.03763366e-01]",0,Flipoff Trasparente
19,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0136_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,544,296,67.0,68.0,57.0,617.0,775.0,788.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997308804,0.0009460864224437,0.0164559676352992,0.0653629995184854,[34.  0.  0. ...  1.  0.  0.],23.55992,38.63794,"[ 7.47947664e-01  1.49431952e+01  9.87342634e-01  5.90248307e+02
  9.02267626e-01  1.74778546e+01  2.34605003e+03  1.56727553e+00
  1.96206653e+00  4.24428923e-03  9.17826491e-01 -6.02793860e-01
  9.03216376e-01]",0,Flipoff Trasparente
20,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0078_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,161882.99,660,542,227,61.0,56.0,42.0,639.0,646.0,568.0,25.0,25.0,24.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999494684,0.0009413362324486,0.0102787283165391,0.0519779379811277,[ 0.  0.  0. ...  2.  2. 22.],24.499153,38.05352,"[ 8.46814226e-01  6.24951914e+00  9.87480423e-01  2.49568431e+02
  9.45308379e-01  8.32716777e+00  9.92024206e+02  9.41673526e-01
  1.13718471e+00  3.61888588e-03  5.59672576e-01 -6.42596183e-01
  8.11870564e-01]",0,Flipoff Trasparente
21,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0039_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,650,548,295,68.0,69.0,57.0,586.0,703.0,704.0,24.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.999999999998694,0.0010173875424281,0.0163373250499548,0.0652218327727343,[41.  1.  0. ...  8.  0.  2.],23.692196,38.55704,"[ 7.49897786e-01  1.37807951e+01  9.88106240e-01  5.79282768e+02
  9.03261221e-01  1.73782375e+01  2.30335028e+03  1.55112615e+00
  1.93302439e+00  4.67608507e-03  9.04864643e-01 -6.05270834e-01
  9.01646867e-01]",0,Flipoff Trasparente
22,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0173_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,650,544,296,67.0,68.0,56.0,631.0,765.0,762.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999873024,0.0007091989098961,0.0163960749493129,0.0653353508746746,[53.  3.  0. ...  2.  0.  0.],23.817442,38.474804,"[ 7.47945463e-01  1.57821497e+01  9.86524919e-01  5.85557628e+02
  9.02305754e-01  1.74228107e+01  2.32644836e+03  1.56691962e+00
  1.95936126e+00  4.43043158e-03  9.20482913e-01 -6.03001429e-01
  9.03060374e-01]",0,Flipoff Trasparente
23,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0132_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,670,550,296,66.0,67.0,55.0,620.0,745.0,744.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997564804,0.0006472324493302,0.0162317235731054,0.065419047124709,[15.  1.  0. ...  9.  0.  0.],23.685574,38.56685,"[ 7.47944060e-01  1.72667355e+01  9.84627264e-01  5.61558114e+02
  9.01813651e-01  1.70313935e+01  2.22896572e+03  1.56062581e+00
  1.95483493e+00  4.30879964e-03  9.25366426e-01 -5.99526562e-01
  9.01225521e-01]",0,Flipoff Trasparente
24,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0167_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,662,536,295,66.0,67.0,56.0,620.0,769.0,777.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999929134,0.0007029319471853,0.0164061822879379,0.0652045461817392,[29.  5.  0. ...  0.  0.  0.],23.510965,38.671104,"[ 7.49897293e-01  1.51463418e+01  9.86655911e-01  5.67484658e+02
  9.03044439e-01  1.70154760e+01  2.25479229e+03  1.56031146e+00
  1.94858807e+00  4.22885817e-03  9.10848535e-01 -6.03945134e-01
  9.02494917e-01]",0,Flipoff Trasparente
25,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0126_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,672,544,295,66.0,67.0,55.0,588.0,706.0,707.0,24.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997190672,0.000866666032731,0.0161782151619287,0.0647032072966043,[44.  0.  0. ...  3.  0.  2.],23.503862,38.66977,"[ 7.49895738e-01  1.47545330e+01  9.86581184e-01  5.49725694e+02
  9.03872958e-01  1.68385460e+01  2.18414824e+03  1.55327887e+00
  1.93665177e+00  4.39707820e-03  9.05916481e-01 -6.05532555e-01
  9.02081004e-01]",0,Flipoff Trasparente
26,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0068_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,277116.51,666,530,297,70.0,71.0,59.0,744.0,893.0,889.0,27.0,30.0,30.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999989704,0.0005734512795135,0.0165658269131275,0.065591015625717,[32.  0.  0. ...  5.  1.  2.],23.461203,38.704674,"[ 7.45915305e-01  1.58943404e+01  9.87742050e-01  6.48276245e+02
  8.99928882e-01  1.82987441e+01  2.57721064e+03  1.59361509e+00
  2.00420237e+00  4.33668195e-03  9.36582844e-01 -5.98098579e-01
  9.04933984e-01]",0,Flipoff Trasparente
27,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0029_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,534,296,67.0,68.0,56.0,655.0,787.0,781.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.999999999994662,0.0007451239823798,0.0163911955865319,0.0655071978620582,[ 0.  0.  0. ... 16.  0.  0.],23.59848,38.61039,"[ 7.47932078e-01  1.42017702e+01  9.87757843e-01  5.79987425e+02
  9.02671465e-01  1.72712559e+01  2.30574793e+03  1.58015274e+00
  1.96984605e+00  4.38641664e-03  9.16328572e-01 -6.06257897e-01
  9.05299962e-01]",0,Flipoff Trasparente
28,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0055_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,660,536,296,66.0,67.0,56.0,635.0,777.0,782.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.999999999990392,0.00054536646588,0.0165885029336754,0.0655852843444137,[45.  0.  0. ... 14.  0.  0.],23.683496,38.56069,"[ 7.47935591e-01  1.43179880e+01  9.87560976e-01  5.75479680e+02
  9.02658272e-01  1.72104809e+01  2.28760073e+03  1.57632618e+00
  1.96332448e+00  4.43530808e-03  9.13109452e-01 -6.07408134e-01
  9.05199096e-01]",0,Flipoff Trasparente
29,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0097_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,277116.51,650,552,297,76.0,77.0,66.0,962.0,1236.0,1274.0,31.0,35.0,36.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999856612,0.0007899257580559,0.0164927608450954,0.0657793410476958,[ 6. 21. 18. ...  0.  0.  0.],23.657255,38.572994,"[ 7.45914715e-01  1.65760312e+01  9.89634741e-01  7.99527612e+02
  8.99327768e-01  2.00357017e+01  3.18153442e+03  1.61528466e+00
  2.02897941e+00  3.15493465e-03  9.43706651e-01 -6.01249117e-01
  9.08292449e-01]",0,Flipoff Trasparente
30,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0041_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,658,548,296,69.0,69.0,57.0,601.0,739.0,753.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999114187,0.0007843854737999,0.0164276186566815,0.0654128057135698,[38.  0.  0. ...  0.  0.  0.],23.208828,38.852608,"[ 7.47936982e-01  1.53683947e+01  9.87030780e-01  5.92446502e+02
  9.01919261e-01  1.75954045e+01  2.35441761e+03  1.56429231e+00
  1.96319602e+00  4.40174398e-03  9.24581026e-01 -5.98498090e-01
  9.01541228e-01]",0,Flipoff Trasparente
31,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images_notonlygood/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0083_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,277116.51,660,544,297,68.0,70.0,58.0,788.0,968.0,984.0,28.0,31.0,31.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999952662,0.0007380323725338,0.0164090346845654,0.0655027315858867,[2. 3. 1. ... 2. 0. 4.],23.782846,38.497585,"[ 7.45918329e-01  1.71788172e+01  9.86584625e-01  6.40213177e+02
  9.00781891e-01  1.79803556e+01  2.54367389e+03  1.59633947e+00
  2.00139156e+00  3.16421783e-03  9.36812028e-01 -6.01613390e-01
  9.06128407e-01]",0,Flipoff Trasparente
