Unnamed: 0,flat_data,Target,Path,height,width,channels,CircleArea,x_circle,y_circle,r_circle,b_mean_circle,g_mean_circle,r_mean_circle,b_var_circle,g_var_circle,r_var_circle,b_std_circle,g_std_circle,r_std_circle,HOG,HOG_max,HOG_min,HOG_mean,HOG_std,SIFT,SIFT_mean,SIFT_std
24,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0160_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,271546.47,660,536,294,68.0,68.0,56.0,654.0,786.0,785.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998228375,0.0008349143609060705,0.016009670274265884,0.06491729395799309,[37.  0.  0. ...  2.  0.  0.],23.538147,38.65252
25,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0125_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,668,546,295,66.0,67.0,55.0,602.0,729.0,728.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.999999999969542,0.000950302383926558,0.01642984003598601,0.06494127070777252,[43.  1.  0. ... 21.  0.  0.],23.796438,38.496
26,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0164_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,660,540,296,66.0,67.0,55.0,613.0,741.0,739.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999977695,0.000644336791932655,0.016209004773153894,0.06546731986522301,[35.  2.  0. ...  4.  0.  0.],23.952837,38.39309
27,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0131_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,658,542,296,67.0,67.0,55.0,665.0,776.0,761.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999995356009,0.0007927754012442273,0.016302960993285792,0.06501617473231114,[50.  0.  0. ...  0.  0.  0.],23.694262,38.566536
28,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0170_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,668,558,296,67.0,68.0,56.0,611.0,753.0,756.0,25.0,27.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999901235,0.0009429625590586991,0.01636172852017328,0.065301240097534,[25. 77. 18. ...  6.  0.  0.],23.935837,38.40682
29,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0042_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,656,544,296,68.0,68.0,57.0,619.0,780.0,792.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998,0.0007873099596685117,0.016354434731939156,0.06491732835030178,[33.  0.  0. ...  0.  0.  0.],23.71853,38.537575
30,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0118_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,664,544,296,67.0,68.0,56.0,603.0,762.0,778.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999822761,0.0009551713043512699,0.016434528128583165,0.06545371892009101,[24.  5.  1. ...  4.  0.  0.],23.7412,38.532806
31,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0159_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,670,550,296,67.0,67.0,55.0,599.0,711.0,704.0,24.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998,0.0008397995233870962,0.01650342562028533,0.06535103304200754,[68.  3.  0. ... 18.  2.  2.],23.618908,38.60601
32,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0145_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,656,548,296,64.0,65.0,54.0,597.0,750.0,756.0,24.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998328164,0.000715740829767781,0.01657623992405226,0.06524711785527644,[56.  1.  0. ...  1.  0.  4.],23.813488,38.486908
33,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0110_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,670,546,295,67.0,68.0,56.0,609.0,709.0,700.0,25.0,27.0,26.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999729535,0.0008998817378021615,0.016088037418866257,0.06494090296838148,[20.  1.  0. ...  3.  0.  5.],23.808084,38.489285
34,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0151_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,542,296,66.0,66.0,54.0,565.0,692.0,692.0,24.0,26.0,26.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997724445,0.0008129977080676723,0.016637961978110027,0.06531691050619642,[43.  6.  1. ...  1.  0.  1.],23.610577,38.61051
35,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0139_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,658,548,296,66.0,67.0,56.0,624.0,754.0,760.0,25.0,27.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998119377,0.0009483428952733279,0.016481826085409688,0.06539916830470516,[26.  0.  0. ...  0. 52. 36.],23.488083,38.684708
36,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0036_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,670,536,296,66.0,66.0,55.0,632.0,768.0,764.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999411663,0.0009204958797034165,0.016311750353422357,0.06548442437472798,[46.  1.  0. ... 10. 55.  5.],23.38587,38.74206
37,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0032_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,646,544,296,69.0,70.0,58.0,617.0,766.0,776.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999997308804,0.0006215987709619779,0.016315566522648876,0.06539818702313713,[75. 10.  0. ...  7.  0.  0.],23.62382,38.608345
38,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0129_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,658,542,296,67.0,67.0,56.0,602.0,736.0,747.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999996128545,0.000874863880375687,0.016201948502056744,0.06504142048502207,[46.  0.  0. ...  3.  1. 54.],23.029858,38.956074
39,[0 0 0 ... 0 0 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0168_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,554,296,67.0,67.0,55.0,638.0,757.0,748.0,25.0,28.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999700978,0.0007194116402660559,0.016360000442097213,0.06555757682553175,[25.  0.  0. ...  3.  0.  3.],23.596052,38.614147
40,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0026_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,650,556,296,65.0,66.0,55.0,635.0,785.0,792.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999980491,0.0007118647887026907,0.016330065362051907,0.06547985950312936,[20.  1.  0. ...  8.  2. 32.],23.161667,38.880642
41,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0114_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,656,546,296,66.0,67.0,56.0,626.0,763.0,770.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999875717,0.000918988500068555,0.016301904990132746,0.06510222627591818,[29.  1.  0. ...  2.  1.  7.],23.68909,38.55849
42,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0155_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,660,546,296,67.0,67.0,56.0,660.0,789.0,777.0,26.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998,0.0006188075100288186,0.016269901669081682,0.06545221238233077,[27.  0.  0. ...  0.  0.  0.],24.373455,38.135433
43,[0 0 0 ... 8 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0141_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,666,550,296,68.0,69.0,57.0,701.0,851.0,848.0,26.0,29.0,29.0,[0. 0. 0. ... 0. 0. 0.],0.999999999983378,0.0007950202441146447,0.016367201197462086,0.06555577944515908,[19.  0.  0. ...  0.  0.  1.],23.58547,38.62076
44,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0133_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,660,552,295,69.0,69.0,57.0,616.0,761.0,765.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999977397,0.0006353355408044398,0.016277301867457034,0.06523683854950439,[56.  8.  0. ...  1.  0.  1.],23.695877,38.55445
45,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0172_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,666,546,296,65.0,66.0,55.0,643.0,791.0,792.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999642335,0.0007257201718403847,0.016241462848488257,0.06541662985356826,[36. 17.  0. ... 20. 43.  8.],23.368187,38.754303
46,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0028_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,273396.87,656,548,295,66.0,67.0,55.0,551.0,682.0,698.0,23.0,26.0,26.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999873023,0.0009559558948139387,0.01639111877864885,0.06507982173903593,[48.  2.  0. ...  0.  0.  1.],23.447857,38.710495
47,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0127_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,271546.47,666,544,294,70.0,70.0,57.0,647.0,783.0,779.0,25.0,28.0,28.0,[0. 0. 0. ... 0. 0. 0.],0.9999999999921964,0.0007767868920721975,0.01624776938517658,0.0650299892663322,[64. 11.  0. ...  3.  0.  0.],23.304346,38.79226
48,[0 0 0 ... 0 4 0],0,/Users/davidesalvi/Desktop/stage_project_py/images/AllGood/20211013 - Flipoff e Cap Parma - 10 - Trasparente - Nero - Oro - 32 mm - 250 ml/Product_Prod0166_Cam00_Pre00_Img000_ResM031_ResImg000.png,1024,1280,3,275253.55,662,544,296,65.0,65.0,54.0,601.0,738.0,737.0,25.0,27.0,27.0,[0. 0. 0. ... 0. 0. 0.],0.9999999998146606,0.0005695889535663898,0.016308176780948903,0.06540003017543826,[140.   0.   0. ...  11.   3.   5.],23.540346,38.654224
